VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
2,08-01-2015 22:44,08-01-2015 22:50,1,1.55,-73.98768616,40.72425079,1,N,-73.97376251,40.74337769,2,7.5,0.5,0.5,0,0,8.8,5000
1,08-01-2015 22:44,08-01-2015 22:51,3,1.2,-73.99156952,40.72693253,1,N,-74.00410461,40.72108078,2,7,0.5,0.5,0,0,8.3,5344860
1,08-01-2015 22:44,08-01-2015 22:55,1,2.4,-73.98191833,40.78344345,1,N,-73.95235443,40.7981987,2,10.5,0.5,0.5,0,0,11.8,3345464
1,08-01-2015 22:44,08-01-2015 22:58,1,7.3,-73.97312164,40.74355316,1,N,-73.91957092,40.83200073,2,21.5,0.5,0.5,0,0,22.8,893933
1,08-01-2015 22:44,08-01-2015 22:46,1,0.4,-73.9829483,40.76620865,1,N,-73.98439026,40.76405334,2,3.5,0.5,0.5,0,0,4.8,36864
2,08-01-2015 22:44,08-01-2015 22:48,1,0.71,-73.98249817,40.76401901,1,N,-73.97464752,40.75777817,2,5,0.5,0.5,0,0,6.3,37874347
1,08-01-2015 22:44,08-01-2015 22:51,1,1.6,-73.97216034,40.75934601,1,N,-73.98607635,40.74014664,1,7.5,0.5,0.5,1.2,0,10,459479749
2,08-01-2015 22:44,08-01-2015 22:46,1,0.52,-73.97267914,40.79328918,1,N,-73.97128296,40.79706192,1,4,0.5,0.5,0.9,0,6.2,84855
2,08-01-2015 22:44,08-01-2015 22:55,3,6.23,-74.01148987,40.70272827,1,N,-73.95947266,40.76288223,1,18.5,0.5,0.5,3.8,0,23.6,843
2,08-01-2015 22:44,08-01-2015 22:59,1,5.88,-73.92871857,40.74388885,5,N,-73.85521698,40.72777939,1,75,0,0,5,0,80.3,5001
2,08-01-2015 22:44,08-01-2015 23:02,1,3.48,-73.97440338,40.75531387,1,N,-73.98099518,40.72119522,1,15,0.5,0.5,3.1,0,19.4,5344861
1,08-01-2015 22:44,08-01-2015 22:48,1,1,-73.97702026,40.75225067,1,N,-73.97756195,40.76288223,1,5,0.5,0.5,3,0,9.3,3345465
